time,cte,he,steering,h,clf_alpha,steering_kp
1782557422.3405836,0.6582,0.3545,-0.0334,2.9778,0.2700,3.8420
1782557422.492997,1.2993,0.3207,-0.0037,2.7703,0.2700,3.8420
1782557422.6551037,0.6585,0.2673,0.0371,2.4911,0.2700,3.8420
1782557422.7876933,0.4260,0.2440,-0.0111,2.3508,0.2700,3.8420
1782557422.9451423,0.8551,0.2192,0.0334,2.1539,0.2700,3.8420
1782557423.1350963,0.0294,0.1734,0.0297,2.0129,0.2700,3.8420
1782557423.3172314,0.5978,0.1604,0.0223,1.8577,0.2700,3.8420
1782557423.4903505,0.5152,0.1373,0.0074,1.7644,0.2700,3.8420
1782557423.6379628,0.2032,0.1215,-0.0074,1.6726,0.2700,3.8420
1782557423.7997932,0.1097,0.1024,0.0111,1.5771,0.2700,3.8420
1782557423.950793,0.1921,0.0966,0.0074,1.5097,0.2700,3.8420
1782557424.0852213,0.1367,0.0818,0.0074,1.4526,0.2700,3.8420
1782557424.2425072,0.1636,0.0763,0.0037,1.3905,0.2700,3.8420
1782557424.382679,0.0265,0.0626,0.0149,1.3432,0.2700,3.8420
1782557424.641238,0.0286,0.0537,0.0000,1.2838,0.2700,3.8420
1782557424.802237,0.1116,0.0477,0.0037,1.2488,0.2700,3.8420
1782557424.9355872,-0.0370,0.0410,-0.0037,1.2176,0.2700,3.8420
1782557425.11746,0.0452,0.0367,-0.0037,1.1848,0.2700,3.8420
1782557425.2629719,0.0942,0.0326,0.0000,1.1608,0.2700,3.8420
1782557425.409638,0.0157,0.0286,0.0000,1.1343,0.2700,3.8420
1782557425.5829875,0.0031,0.0242,0.0000,1.1107,0.2700,3.8420
1782557425.7433424,0.0568,0.0218,0.0000,1.0943,0.2700,3.8420
1782557425.8951426,0.1141,0.0199,0.0000,1.0776,0.2700,3.8420
1782557426.04464,0.0224,0.0166,0.0000,1.0632,0.2700,3.8420
1782557426.2079341,0.0262,0.0144,0.0000,1.0519,0.2700,3.8420
1782557426.341853,-0.0507,0.0117,-0.0037,1.0423,0.2700,3.8420
1782557426.4797678,0.0324,0.0116,0.0000,1.0333,0.2700,3.8420
1782557426.6252847,0.0580,0.0113,-0.0037,1.0267,0.2700,3.8420
1782557426.7695875,0.0341,0.0094,0.0000,1.0181,0.2700,3.8420
1782557426.9028234,0.0677,0.0094,0.0000,1.0116,0.2700,3.8420
1782557427.0307708,0.0116,0.0075,0.0000,1.0071,0.2700,3.8420
1782557427.1488917,0.0653,0.0075,0.0000,1.0029,0.2700,3.8420
1782557427.299496,0.0091,0.0058,0.0000,0.9968,0.2700,3.8420
1782557427.4349458,0.0505,0.0058,0.0000,0.9931,0.2700,3.8420
1782557427.5777779,0.0712,0.0058,0.0000,1.0119,0.2700,3.8420
1782557427.7532933,0.0062,0.0037,0.0000,1.0229,0.2700,3.8420
1782557427.9111853,0.0326,0.0037,0.0000,0.9648,0.2700,3.8420
1782557428.0787816,0.0591,0.0037,0.0000,0.9462,0.2700,3.8420
1782557428.2193525,0.0723,0.0037,0.0000,0.9484,0.2700,3.8420
1782557428.353443,0.0855,0.0037,0.0000,0.9515,0.2700,3.8420
1782557428.5129,-0.0047,0.0012,0.0037,0.9540,0.2700,3.8420
1782557428.698462,-0.0284,0.0006,0.0000,0.9549,0.2700,3.8420
1782557428.8613815,-0.0244,0.0006,0.0000,0.9553,0.2700,3.8420
1782557429.023953,-0.0224,0.0006,0.0000,0.9559,0.2700,3.8420
1782557429.1707976,-0.0184,0.0006,0.0000,0.9561,0.2700,3.8420
1782557429.3332417,-0.0144,0.0006,0.0000,0.9567,0.2700,3.8420
1782557429.4636183,-0.0124,0.0006,0.0000,0.9571,0.2700,3.8420
1782557429.5730336,-0.0104,0.0006,0.0000,0.9574,0.2700,3.8420
1782557429.7256565,-0.0064,0.0006,0.0000,0.9579,0.2700,3.8420
1782557430.0036786,-0.0004,0.0006,0.0000,0.9585,0.2700,3.8420
1782557430.1732755,0.0016,0.0006,0.0000,0.9590,0.2700,3.8420
1782557430.3359966,0.0056,0.0006,0.0000,0.9595,0.2700,3.8420
1782557430.4950163,0.0096,0.0006,0.0000,0.9600,0.2700,3.8420
1782557430.6477907,0.0116,0.0006,0.0000,0.9604,0.2700,3.8420
1782557430.802758,0.0156,0.0006,0.0000,0.9608,0.2700,3.8420
1782557430.9721777,0.0176,0.0006,0.0000,0.9611,0.2700,3.8420
1782557431.1565354,0.0217,0.0006,0.0000,0.9615,0.2700,3.8420
1782557431.399513,0.0277,0.0006,0.0000,0.9625,0.2700,3.8420
1782557431.5705726,0.0317,0.0006,0.0000,0.9630,0.2700,3.8420
1782557431.756073,0.0357,0.0006,0.0000,0.9634,0.2700,3.8420
1782557431.9056907,0.0377,0.0006,0.0000,0.9639,0.2700,3.8420
1782557432.0750687,0.0417,0.0006,0.0000,0.9644,0.2700,3.8420
1782557432.2512798,0.0457,0.0006,0.0000,0.9649,0.2700,3.8420
1782557432.435811,0.0497,0.0006,0.0000,0.9654,0.2700,3.8420
1782557432.5891757,0.0537,0.0006,0.0000,0.9659,0.2700,3.8420
1782557432.7487361,0.0557,0.0006,0.0000,0.9663,0.2700,3.8420
1782557432.9075925,-11.5769,0.3828,-0.0260,0.6393,0.2700,3.8420
1782557433.0802753,3.3617,1.0502,-0.4346,0.2031,0.2700,3.8420
1782557433.2021868,-31.1820,0.6857,0.9769,-0.4005,0.2700,3.8420
1782557433.3719156,-34.8711,0.6550,1.3000,-0.1133,0.2700,3.8420
1782557433.5232756,-13.8120,0.8643,1.3000,0.2037,0.2700,3.8420
1782557433.6742942,42.6062,1.5201,-1.3000,1.7572,0.2700,3.8420
1782557433.8133225,29.2995,1.3214,-1.3000,3.1130,0.2700,3.8420
1782557434.09876,-40.1091,0.4358,-1.0066,5.1830,0.2700,3.8420
1782557434.2474868,22.7464,1.2375,-1.0846,5.4976,0.2700,3.8420
1782557434.3763406,6.1841,0.9652,-1.3000,7.0435,0.2700,3.8420
1782557434.5678842,-14.3295,0.6497,1.3000,2.7214,0.2700,3.8420
1782557434.7748296,-44.0606,0.0947,1.3000,3.0883,0.2700,3.8420
1782557434.950604,-37.4882,0.1587,1.1589,4.1924,0.2700,3.8420
1782557435.1058047,16.7616,1.0041,-1.0103,10.2180,0.2700,3.8420
1782557435.2746108,-11.3578,0.4989,-0.6351,10.5784,0.2700,3.8420
1782557435.4426558,-4.3566,0.5403,-0.3640,11.0972,0.2700,3.8420
1782557435.6220148,0.5815,0.5889,-0.0297,11.4221,0.2700,3.8420
1782557435.7756624,1.9242,0.5445,0.0891,12.0392,0.2700,3.8420
1782557435.9201329,0.9240,0.4943,-0.0371,13.2956,0.2700,3.8420
1782557436.070788,-0.4756,0.4365,0.0520,13.8454,0.2700,3.8420
1782557436.2482102,-0.3178,0.3818,0.0743,14.9445,0.2700,3.8420
1782557436.4316525,0.0902,0.3377,0.0371,16.4063,0.2700,3.8420
1782557436.5907774,1.2558,0.3151,-0.0074,17.7054,0.2700,3.8420
1782557436.7434185,0.0239,0.2694,-0.0223,18.7749,0.2700,3.8420
1782557436.8961837,0.0539,0.2504,0.0000,19.4260,0.2700,3.8420
1782557437.2034276,0.0414,0.2148,0.0149,20.3278,0.2700,3.8420
1782557437.375701,0.3350,0.1903,-0.0074,21.5545,0.2700,3.8420
1782557437.6387098,-0.2932,0.1390,0.0223,22.6857,0.2700,3.8420
1782557437.8113537,0.0343,0.1351,0.0074,24.2707,0.2700,3.8420
1782557437.981751,-0.1088,0.1316,0.0000,24.6538,0.2700,3.8420
1782557438.151636,-0.1088,0.1316,0.0000,25.6843,0.2700,3.8420
1782557438.3515203,-0.1088,0.1316,0.0000,26.0578,0.2700,3.8420
1782557438.5078342,-0.1088,0.1316,0.0000,27.3082,0.2700,3.8420
1782557438.6911235,-0.1088,0.1316,0.0000,27.5320,0.2700,3.8420
1782557438.8818848,-10.8451,-1.3202,1.3000,15.1075,0.2700,3.8420
1782557439.0327928,-118.7342,-2.0292,1.3000,15.3563,0.2700,3.8420
1782557439.2173545,-141.9459,-2.1983,1.3000,24.3026,0.2700,3.8420
1782557439.4368775,-158.7364,-2.3864,-1.3000,16.9363,0.2700,3.8420
1782557439.6053698,-18.9633,-1.3697,1.3000,25.8443,0.2700,3.8420
1782557439.786772,-89.2978,-1.8137,-1.3000,25.1481,0.2700,3.8420
1782557440.0354123,-62.6910,-1.6570,-1.3000,25.4693,0.2700,3.8420
1782557440.230264,-58.8635,-1.6653,1.3000,17.5425,0.2700,3.8420
1782557440.3822513,-26.8562,-1.4389,1.3000,17.5935,0.2700,3.8420
1782557440.5918198,86.1549,-0.5945,-1.3000,22.4203,0.2700,3.8420
1782557440.7493303,79.6841,-0.6166,-1.3000,21.4708,0.2700,3.8420
1782557440.9032378,-5.4120,-1.2579,1.3000,15.6060,0.2700,3.8420
1782557441.0662708,-2.8506,-1.2314,-1.3000,19.3036,0.2700,3.8420
1782557441.2454302,74.9307,-0.5688,1.3000,13.2050,0.2700,3.8420
1782557441.400647,52.1965,-0.7354,-1.3000,18.4904,0.2700,3.8420
1782557441.560063,-46.2021,-1.5571,1.3000,17.4884,0.2700,3.8420
1782557441.7360413,-64.0050,-1.7533,1.3000,18.4493,0.2700,3.8420
1782557441.9110608,-61.7055,-1.7524,-1.3000,14.7937,0.2700,3.8420
1782557442.1036954,-65.1827,-1.8125,0.7874,19.4744,0.2700,3.8420
1782557442.279031,-64.9007,-1.8303,0.7429,19.7523,0.2700,3.8420
1782557442.4225454,20.2936,-0.8302,1.3000,21.0019,0.2700,3.8420
1782557442.6083977,58.3930,-0.3085,-1.3000,19.6949,0.2700,3.8420
1782557442.819404,50.5970,-0.3720,-1.1923,18.8813,0.2700,3.8420
1782557442.987493,31.7696,-0.5548,1.3000,17.7374,0.2700,3.8420
1782557443.1863565,-20.6613,-1.1816,1.3000,18.3716,0.2700,3.8420
1782557443.4040759,31.9095,-0.4362,-1.1329,17.2627,0.2700,3.8420
1782557443.6340957,-28.8169,-1.2321,1.2777,19.1063,0.2700,3.8420
1782557443.7869558,-18.9138,-1.0556,1.0251,19.7351,0.2700,3.8420
1782557443.974709,-9.7536,-0.8834,0.4866,19.6170,0.2700,3.8420
1782557444.1648204,7.5703,-0.5625,0.3603,20.7940,0.2700,3.8420
1782557444.3444812,4.3058,-0.5415,0.2711,20.4321,0.2700,3.8420
1782557444.4654787,-3.9937,-0.6486,0.1671,20.0781,0.2700,3.8420
1782557444.6874483,0.7831,-0.4956,-0.1040,20.4720,0.2700,3.8420
1782557444.8741598,-1.0754,-0.4663,-0.0557,20.4610,0.2700,3.8420
